StoreName,Locationnumber,State,BUCode,last_30d_recharge,active_days_30d,prev_30d_recharge,last_7d_recharge,days_since_last_recharge,churn_30d
Old City Ludhiana  Punjab,478,Punjab,115,-635.7,1,0.0,-635.7,0,0
Ongole OR,20605,AndraPRadesh,151,-678.08,1,0.0,-678.08,0,0
Opera House  Mumbai,223,Maharashtra,17327,-423.8,1,0.0,-423.8,0,0
OrbitMall Indore,516,Madhya Pradesh,172,-593.32,1,0.0,-593.32,0,0
PALARIVATTOM NGS,20800,Kerala,154,-4745.8,1,0.0,-4745.8,0,0
PAMMAL MINI,21045,Tamil Nadu,155,-42.38,1,0.0,-42.38,0,0
PANBAZAR STORE,20994,Assam,131,-339.04,1,0.0,-339.04,0,0
PAPAREDDYPALYA OR,20578,Karnataka,153,-1101.88,1,0.0,-1101.88,0,0
PATRIKA MARG OR,20607,UP,11109,-889.98,1,0.0,-889.98,0,0
PNB Mini OR,21128,West Bengal,135,-42.38,1,0.0,-42.38,0,0
POLLACHI NGS,20985,Tamil Nadu,155,0.0,1,0.0,0.0,0,1
