StoreName,Locationnumber,State,BUCode,last_30d_recharge,active_days_30d,prev_30d_recharge,last_7d_recharge,days_since_last_recharge,churn_30d
Mini OR Tilka Manjhi Bhagalpur,21337,Bihar,132,-254.28000000000003,1,0.0,-254.28000000000003,0,0
Mini Paharganj store,21403,Delhi,111,-635.7,1,0.0,-635.7,0,0
Mini StorBallabhgarh Faridabad,21136,Haryana,11106,-127.14000000000001,1,0.0,-127.14000000000001,0,0
Mini Store Bari Brahmana,22151,JK,114,-42.38,1,0.0,-42.38,0,0
Mini Store Bhajanpura,21190,Delhi,111,0.0,1,0.0,0.0,0,1
Mini Store Bindu Katra,22148,UP,11109,-211.9,1,0.0,-211.9,0,0
Mini Store Chinar,22789,JK,114,-42.38,1,0.0,-42.38,0,0
Mini Store Jungpura Delhi DL374,21093,Delhi,111,-466.18,1,0.0,-466.18,0,0
Mini Store Kapashera,21446,Delhi,111,-339.04,1,0.0,-339.04,0,0
Mini Store Karol Bagh Delh,21207,Delhi,111,-720.46,1,0.0,-720.46,0,0
Mini Store Kilokri Delhi DL384,21255,Delhi,111,-169.52,1,0.0,-169.52,0,0
Mini Store Mahavir Enclave,21315,Delhi,111,-127.14000000000001,1,0.0,-127.14000000000001,0,0
Mini Store Medical Road,22143,UP,11109,-211.9,1,0.0,-211.9,0,0
Mini Store Muzaffarpur,21283,Bihar,132,-296.66,1,0.0,-296.66,0,0
Mini Store Pratap Vihar GZB,21341,UP,11109,-254.28000000000003,1,0.0,-254.28000000000003,0,0
Mini Store Ranibagh,22741,Delhi,111,-254.28000000000003,1,0.0,-254.28000000000003,0,0
Mini Store Rohini Sec 22,21318,Delhi,111,-593.32,1,0.0,-593.32,0,0
Mini Store Roshanpura,21388,Delhi,111,-169.52,1,0.0,-169.52,0,0
Mini Store Sainik Vihar,21316,Delhi,111,-127.14000000000001,1,0.0,-127.14000000000001,0,0
Mini Store Shaheen Bagh Delhi DL378,21094,Delhi,111,-127.14000000000001,1,0.0,-127.14000000000001,0,0
Mini Store Shalimar Ext GZB,21307,UP,11109,-254.28000000000003,1,0.0,-254.28000000000003,0,0
Mini Store Shamsabad,21550,UP,11109,-169.52,1,0.0,-169.52,0,0
Mini Store Sita Ram Bazar Delhi,21387,Delhi,111,-211.9,1,0.0,-211.9,0,0
Mini Store TARAMANDAL,21368,UP,11109,-84.76,1,0.0,-84.76,0,0
Mini Store West Patel Nagar,21467,Delhi,111,-169.52,1,0.0,-169.52,0,0
Mini store baltana,21246,Chandigarh,11504,-84.76,1,0.0,-84.76,0,0
Ministore Maneja,21082,Gujrat,171,-169.52,1,0.0,-169.52,0,0
Ministore Nana Chiloda,21079,Gujrat,171,-127.14000000000001,1,0.0,-127.14000000000001,0,0
Mira Road NGS,11723,Maharashtra,17327,-466.18,1,0.0,-466.18,0,0
MiraRoad3MUM,21013,Maharashtra,17327,-593.32,1,0.0,-593.32,0,0
Miraroadeast mini,21024,Maharashtra,17327,-127.14000000000001,1,0.0,-127.14000000000001,0,0
Mobile Connect PB,21516,Punjab,115,-42.38,1,0.0,-42.38,0,0
Mobile World JK,21498,JK,114,0.0,1,0.0,0.0,0,1
Model Town  Delhi,359,Delhi,111,-339.04,1,0.0,-339.04,0,0
Model Town Mkt Jalandhar,183,Punjab,115,-423.8,1,0.0,-423.8,0,0
Modern Cellular,21938,Gujrat,171,0.0,1,0.0,0.0,0,1
Mogapair  Chennai,329,Tamil Nadu,155,-1017.1200000000001,1,0.0,-1017.1200000000001,0,0
Mohali Phase 10 Sector 64,462,Punjab,115,-423.8,1,0.0,-423.8,0,0
Mohali Phase 5  Punjab,707,Punjab,115,-296.66,1,0.0,-296.66,0,0
Moolakadai NGS,20849,Tamil Nadu,155,-889.98,1,0.0,-889.98,0,0
Moosapet OR,20716,Telangana,15136,-381.42,1,0.0,-381.42,0,0
Moshi AOR,20804,Maharashtra,17327,-678.08,1,0.0,-678.08,0,0
Moti Nagar,22832,Telangana,15136,-296.66,1,0.0,-296.66,0,0
Mudalaplya Govindaraja nagar,21220,Karnataka,153,0.0,1,0.0,0.0,0,1
Mukundapur Mini,21319,West Bengal,135,-42.38,1,0.0,-42.38,0,0
Mulund  Mumbai,225,Maharashtra,17327,-550.94,1,0.0,-550.94,0,0
Muzaffarnagar OR,20601,UP,11109,-508.56000000000006,1,0.0,-508.56000000000006,0,0
MysoreKR mohalla OR,20561,Karnataka,153,-423.8,1,0.0,-423.8,0,0
Mysorevijaynagar OR,20562,Karnataka,153,-381.42,1,0.0,-381.42,0,0
NAC Manimajra OR,20558,Punjab,115,-254.28000000000003,1,0.0,-254.28000000000003,0,0
NAD JUNCTION VizagNext Gen Store Seemadhra,848,AndraPRadesh,151,-593.32,1,0.0,-593.32,0,0
NANAK NAGAR JK,20871,JK,114,-127.14000000000001,1,0.0,-127.14000000000001,0,0
NEELANKARAI NGS,22876,Tamil Nadu,155,-805.22,1,0.0,-805.22,0,0
NEHRU ROAD MINI,21447,Rajasthan,176,-127.14000000000001,1,0.0,-127.14000000000001,0,0
NET,21900,Haryana,11106,-127.14000000000001,1,0.0,-127.14000000000001,0,0
NGS - Kalyan,20486,Maharashtra,17327,-423.8,1,0.0,-423.8,0,0
NGS ALTHAN SURAT,20523,Gujrat,171,-211.9,1,0.0,-211.9,0,0
NGS Brodipet  Guntur,921,AndraPRadesh,151,-296.66,1,0.0,-296.66,0,0
NGS Budaun Road Bareilly,22839,UP,11109,-42.38,1,0.0,-42.38,0,0
NGS Danavaipeta,20495,AndraPRadesh,151,-381.42,1,0.0,-381.42,0,0
NGS ELURU Road,20491,AndraPRadesh,151,-932.36,1,0.0,-932.36,0,0
NGS Elgin Road,20497,West Bengal,135,-169.52,1,0.0,-169.52,0,0
NGS Gandhi Bazar  Bangalore,941,Karnataka,153,-423.8,1,0.0,-423.8,0,0
NGS Hapur,21393,UP,11109,-296.66,1,0.0,-296.66,0,0
NGS ID market,20496,Odisha,134,-296.66,1,0.0,-296.66,0,0
NGS Jhunjhunu,20983,Rajasthan,176,-381.42,1,0.0,-381.42,0,0
NGS KALAMBOLI,20794,Maharashtra,17327,-423.8,1,0.0,-423.8,0,0
NGS Kankerkhera,20960,UP,11109,-254.28000000000003,1,0.0,-254.28000000000003,0,0
NGS Kanth Road,22817,UP,11109,-84.76,1,0.0,-84.76,0,0
NGS Kollam,20489,Kerala,154,-339.04,1,0.0,-339.04,0,0
NGS MODINAGAR,22809,UP,11109,-127.14000000000001,1,0.0,-127.14000000000001,0,0
NGS Mahatma Gandhi Nagar,20493,Rajasthan,176,-296.66,1,0.0,-296.66,0,0
NGS Motihari,22828,Bihar,132,-127.14000000000001,1,0.0,-127.14000000000001,0,0
NGS Mulund,20494,Maharashtra,17327,-2499.2200000000003,1,0.0,-2499.2200000000003,0,0
NGS Nizampura,20521,Gujrat,171,-339.04,1,0.0,-339.04,0,0
NGS PATEL NAGAR,22793,Uttarakhand,11705,-381.42,1,0.0,-381.42,0,0
NGS Pithoragarh,22842,Uttarakhand,11705,-42.38,1,0.0,-42.38,0,0
NGS ROM Jalgaon,20501,Maharashtra,17327,-339.04,1,0.0,-339.04,0,0
NGS RTO Office Aligarh,22837,UP,11109,-42.38,1,0.0,-42.38,0,0
NGS Ragigudda  Bangalore,936,Karnataka,153,-84.76,1,0.0,-84.76,0,0
NGS Raja Park,20492,Rajasthan,176,-42.38,1,0.0,-42.38,0,0
NGS Rishikesh,20639,Uttarakhand,11705,-296.66,1,0.0,-296.66,0,0
NGS Rotha Road,21132,UP,11109,-211.9,1,0.0,-211.9,0,0
NGS SANJAY PLACE,20537,UP,11109,-211.9,1,0.0,-211.9,0,0
NGS SHASTRI NAGAR,20944,UP,11109,-381.42,1,0.0,-381.42,0,0
NGS SIKANDRA,22147,UP,11109,-339.04,1,0.0,-339.04,0,0
NGS STADIUM ROAD,20535,UP,11109,-678.08,1,0.0,-678.08,0,0
NGS Shivalik Nagar Haridwar,22801,Uttarakhand,11705,-381.42,1,0.0,-381.42,0,0
NGS Suratgarh,20792,Rajasthan,176,-381.42,1,0.0,-381.42,0,0
NGS THANE Boisar,20499,Maharashtra,17327,-508.56000000000006,1,0.0,-508.56000000000006,0,0
NGS Tea Board,20490,West Bengal,135,-42.38,1,0.0,-42.38,0,0
NGS Tonk Road,20516,Rajasthan,176,-339.04,1,0.0,-339.04,0,0
